region,crop,season,soil_type,temperature,humidity,rainfall,yield,risk
Punjab,Rice,Kharif,Alluvial,28.5,75,320,3850,0.12
Punjab,Wheat,Rabi,Alluvial,18.2,55,95,4200,0.08
Punjab,Maize,Kharif,Alluvial,30.1,70,280,2950,0.15
Punjab,Cotton,Kharif,Alluvial,32.5,60,180,1650,0.22
Haryana,Rice,Kharif,Alluvial,29.0,72,300,3650,0.14
Haryana,Wheat,Rabi,Alluvial,17.8,52,88,4100,0.09
Haryana,Sugarcane,Kharif,Alluvial,31.5,68,380,6500,0.18
Uttar Pradesh,Rice,Kharif,Alluvial,28.8,78,340,3200,0.16
Uttar Pradesh,Wheat,Rabi,Alluvial,16.5,50,75,3800,0.11
Uttar Pradesh,Sugarcane,Kharif,Alluvial,30.0,72,400,5800,0.15
Uttar Pradesh,Maize,Kharif,Alluvial,29.5,68,260,2650,0.17
Maharashtra,Cotton,Kharif,Black,33.0,58,165,1450,0.25
Maharashtra,Soybean,Kharif,Black,29.5,65,220,1850,0.18
Maharashtra,Sugarcane,Kharif,Black,31.0,62,350,5200,0.20
Maharashtra,Groundnut,Kharif,Black,30.5,60,180,1550,0.22
Maharashtra,Pulses,Rabi,Black,24.0,48,85,1150,0.19
Madhya Pradesh,Wheat,Rabi,Black,19.5,45,70,3500,0.12
Madhya Pradesh,Soybean,Kharif,Black,28.5,68,240,1920,0.16
Madhya Pradesh,Maize,Kharif,Black,30.0,65,230,2450,0.18
Madhya Pradesh,Pulses,Rabi,Black,22.5,42,65,1280,0.15
Gujarat,Cotton,Kharif,Black,34.0,55,150,1380,0.28
Gujarat,Groundnut,Kharif,Black,32.5,58,160,1480,0.24
Gujarat,Wheat,Rabi,Black,20.5,48,55,3200,0.14
Gujarat,Maize,Kharif,Black,31.5,62,200,2280,0.20
Rajasthan,Wheat,Rabi,Desert,18.0,35,45,2800,0.22
Rajasthan,Barley,Rabi,Desert,17.5,32,40,1650,0.25
Rajasthan,Millet,Kharif,Desert,35.0,40,120,1100,0.30
Rajasthan,Pulses,Rabi,Desert,21.0,38,50,950,0.28
West Bengal,Rice,Kharif,Alluvial,29.5,82,420,3950,0.10
West Bengal,Rice,Rabi,Alluvial,24.0,75,180,3200,0.12
West Bengal,Maize,Kharif,Alluvial,28.5,78,350,2850,0.14
West Bengal,Pulses,Rabi,Alluvial,22.0,65,95,1350,0.16
Tamil Nadu,Rice,Kharif,Red,30.5,78,380,3450,0.13
Tamil Nadu,Rice,Rabi,Red,27.0,72,220,3100,0.15
Tamil Nadu,Sugarcane,Kharif,Red,31.5,70,320,5500,0.17
Tamil Nadu,Groundnut,Kharif,Red,32.0,65,180,1520,0.20
Tamil Nadu,Millet,Kharif,Red,33.5,58,140,1180,0.23
Karnataka,Rice,Kharif,Red,28.0,75,350,3280,0.14
Karnataka,Maize,Kharif,Red,29.5,68,280,2680,0.16
Karnataka,Cotton,Kharif,Black,31.5,60,175,1420,0.24
